NIF;NOMBRE DEL FONDO;NOMBRE DE LA GESTORA;DIRECCIÓN;POLÍTICA DE INVERSIÓN;VARIABILIDAD DEL CAPITAL;SUB FONDO;ISIN;CÓDIGO DE SUPERVISOR
V86844974-1;ABANCA GESTION, FI/ABANCA GESTION / DECIDIDO;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;mixtos;capital variable;No;ES0133400004;FI4676-1
V86844974-3;ABANCA GESTION, FI/ABANCA GESTION / MODERADO;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;mixtos;capital variable;No;ES0133400020;FI4676-3
V85377406;ABANCA RENTA FIJA CORTO PLAZO, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;obligaciones;capital variable;No;ES0119483008;FI3988
V84857739;ABANCA RENTA FIJA FLEXIBLE, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;obligaciones;capital variable;No;ES0147597035;FI3682
V87109906;ABANCA RENTA FIJA MIXTA, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;mixtos;capital variable;No;ES0140073000;FI4808
V87112173;ABANCA RENTA VARIABLE ESPAÑA, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;participaciones;capital variable;No;ES0162948006;FI4807
V82055906;ABANCA RENTA VARIABLE EUROPA, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;participaciones;capital variable;No;ES0115411037;FI1540
V80714306;ABANCA RENTA VARIABLE MIXTA, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;mixtos;capital variable;No;ES0115418032;FI451
V87516795;ABANCA 3 VALORES GARANTIZADO 2023, FI;IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;obligaciones;capital variable;No;ES0165937006;FI4977
V85439560;ABANDO EQUITIES, FI;DUX INVERSORES, SGIIC, S.A.;VELAZQUEZ, 25, 28001, MADRID;otros;capital variable;No;ES0109656001;FI4013
V83217208;ABANTE ASESORES GLOBAL, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0109652034;FI2562
V84288323;ABANTE BOLSA ABSOLUTA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0109655003;FI3166
V84288323;ABANTE BOLSA ABSOLUTA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0109655037;FI3166
V83217299;ABANTE BOLSA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;participaciones;capital variable;No;ES0105011037;FI2560
V87884292;ABANTE INDICE BOLSA FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;participaciones;capital variable;No;ES0165939002;FI5195
V87884292;ABANTE INDICE BOLSA FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;participaciones;capital variable;No;ES0165939010;FI5195
V87884508;ABANTE INDICE SELECCION, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;mixtos;capital variable;No;ES0162949004;FI5196
V87884508;ABANTE INDICE SELECCION, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;mixtos;capital variable;No;ES0162949012;FI5196
V83787549;ABANTE PATRIMONIO GLOBAL, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0105013009;FI2863
V83787549;ABANTE PATRIMONIO GLOBAL, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0105013033;FI2863
V87919460;ABANTE QUANT VALUE SMALL CAPS, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;participaciones;capital variable;No;ES0162950002;FI5211
V84287952;ABANTE RENTA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;mixtos;capital variable;No;ES0162947032;FI3170
V83644120;ABANTE RENTABILIDAD ABSOLUTA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0184837005;FI2776
V83644120;ABANTE RENTABILIDAD ABSOLUTA, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;otros;capital variable;No;ES0184837039;FI2776
V83217257;ABANTE SELECCION, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;mixtos;capital variable;No;ES0162946034;FI2561
V83409516;ABANTE VALOR, FI;ABANTE ASESORES GESTION, SGIIC, S.A.;PLAZA DE LA INDEPENDENCIA, 6, 28001, MADRID;mixtos;capital variable;No;ES0190052037;FI2623
V84607159;AC CAPITAL PREMIER II, FCR DE REGIMEN SIMPLIFICADO;MCH PRIVATE EQUITY INVESTMENTS, SGEIC, S.A.;VELAZQUEZ, 166, 28002, MADRID;otros;capital fijo;No;ES0105233037;FCR53
V86343290;AC JESSICA ANDALUCIA, FCR;GED INFRASTRUCTURE SGEIC, S.A.;C/ MONTALBAN, 7, 28014, MADRID;otros;capital fijo;No;ES0105206009;FCR130
V95644183;ACACIA BONOMIX FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105243002;FI4335
V95644183;ACACIA BONOMIX FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105243010;FI4335
V95644183;ACACIA BONOMIX FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105243028;FI4335
V95833638;ACACIA GLOBALMIX 60-90, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;otros;capital variable;No;ES0105244000;FI4984
V95833638;ACACIA GLOBALMIX 60-90, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;otros;capital variable;No;ES0105244018;FI4984
V95833638;ACACIA GLOBALMIX 60-90, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;otros;capital variable;No;ES0105244026;FI4984
V95833604;ACACIA INVERMIX 30-60, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105207007;FI4983
V95833604;ACACIA INVERMIX 30-60, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105207015;FI4983
V95833604;ACACIA INVERMIX 30-60, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;mixtos;capital variable;No;ES0105207023;FI4983
V95644225;ACACIA PREMIUM FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;participaciones;capital variable;No;ES0105263000;FI4337
V95644191;ACACIA REINVERPLUS EUROPA FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;participaciones;capital variable;No;ES0157934003;FI4336
V95652905;ACACIA RENTA DINAMICA, FI;ACACIA INVERSION, SGIIC, S.A.;GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS, 48009, BILBAO;otros;capital variable;No;ES0157935000;FI4376
V84841055;ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO;BBVA ASSET MANAGEMENT, S.A., SGIIC;Calle Azul, 4, 28050, MADRID;otros;capital variable;No;ES0105321030;FI3596
V84750637;ACCION IBEX 35 ETF, FI COTIZADO ARMONIZADO;BBVA ASSET MANAGEMENT, S.A., SGIIC;Calle Azul, 4, 28050, MADRID;otros;capital variable;No;ES0105336038;FI3499
V88036975;ACTIVE VALUE SELECTION, FI;CREDIT SUISSE GESTION, S.G.I.I.C., S.A.;AYALA, 42, 5ª PLANTA-A, 28001, MADRID;otros;capital variable;No;ES0105812004;FI5253
V47635974;ADE FINANCIACION CAPITAL SEMILLA FCR;ADE GESTION SODICAL, SGEIC, S.A.;JACINTO BENAVENTE Nº 2, 3ª PLANTA, 47195, ARROYO DE LA ENCOMIENDA;otros;capital fijo;No;ES0105967006;FCR107
V15695539;ADIANTE 2000, FONDO DE CAPITAL RIESGO DE REGIMEN COMUN (EN LIQUIDACION);XESGALICIA SGEIC, SA;CALLE ORENSE, 6, 15701, SANTIAGO DE COMPOSTELA;otros;capital fijo;No;ES0105986030;FCR19
V86524311;ADLER, FIL;OMEGA GESTION DE INVERSIONES, SGIIC, S.A.;PS. DE LA CASTELLANA 28, 28046, MADRID;alto riesgo;capital variable;No;ES0105984001;FIL44
V85346195;ADRIZA ACTIVOS, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;mixtos;capital variable;No;ES0182753006;FI4692
V85235620;ADRIZA GLOBAL, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;otros;capital variable;No;ES0182798001;FI4634
V85235620;ADRIZA GLOBAL, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;otros;capital variable;No;ES0182798019;FI4634
V87386124;ADRIZA INTERNATIONAL OPPORTUNITIES FUND, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;participaciones;capital variable;No;ES0119375006;FI4907
V85962447;ADRIZA NEUTRAL, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;otros;capital variable;No;ES0118537002;FI4231
V87913182;ADRIZA RENTA FIJA CORTO PLAZO, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;obligaciones;capital variable;No;ES0119376004;FI5201
V87913182;ADRIZA RENTA FIJA CORTO PLAZO, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;obligaciones;capital variable;No;ES0119376012;FI5201
V80722424;AEGON INVERSION MF, FI;INVERSEGUROS GESTION, S.A., S.G.I.I.C.;FERNANFLOR, 4, 4ª PLANTA, 28014, MADRID;mixtos;capital variable;No;ES0147614038;FI444
V80722432;AEGON INVERSION MV, FI;INVERSEGUROS GESTION, S.A., S.G.I.I.C.;FERNANFLOR, 4, 4ª PLANTA, 28014, MADRID;mixtos;capital variable;No;ES0147616033;FI445
V84585306;AHORRO CORPORACION INFRAESTRUCTURAS, FCR;GED INFRASTRUCTURE SGEIC, S.A.;C/ MONTALBAN, 7, 28014, MADRID;otros;capital fijo;No;ES0107263032;FCR51
V84051440;AHORRO CORPORACION PATRIMONIO INMOBILIARIO, FII (EN LIQUIDACION);IMANTIA CAPITAL, S.G.I.I.C., S.A.;C/ SERRANO 45, 3ª PLANTA, 28001, MADRID;inmobiliarios;capital variable;No;ES0106929039;FII9
V66284712;AL ANDALUS CAPITAL, FCR DE REGIMEN SIMPLIFICADO;ALTER CAPITAL DESARROLLO, SGEIC, SA;CALLE ANTONIO MAURA MONTANER 7, PORTAL 4, 2º A, 41013, SEVILLA;otros;capital fijo;No;ES0168722009;FCR159
V65087215;ALBUS, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0107678007;FI4121
V65087215;ALBUS, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0107678015;FI4121
V65087215;ALBUS, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0107678023;FI4121
V80057284;ALCALA ACCIONES, FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;mixtos;capital variable;No;ES0178220036;FI252
V81545493;ALCALA AHORRO, FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;mixtos;capital variable;No;ES0107696033;FI737
V81545485;ALCALA BOLSA MIXTO, FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;mixtos;capital variable;No;ES0107692032;FI738
V80396427;ALCALA GESTION ACTIVA FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;otros;capital variable;No;ES0174039034;FI352
V81768061;ALCALA GLOBAL, FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;mixtos;capital variable;No;ES0107693030;FI1091
V65143661;ALCALA INSTITUCIONAL, FI;GESALCALA, S.A., S.G.I.I.C.;ORTEGA Y GASSET, 7, 28006, MADRID;mixtos;capital variable;No;ES0174013005;FI4147
V87349106;ALEPH 2016, F.C.R.;ALEPH CAPITAL. S.G.E.I.C., S.A.;ANTONIO MAURA, 9, BAJO DERECHA, 28014, MADRID;otros;capital fijo;No;ES0107713002;FCR177
V87287553;ALGAR GLOBAL FUND, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;otros;capital variable;No;ES0140963002;FI4877
V87189460;ALHAJA INVERSIONES RV MIXTO, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;mixtos;capital variable;No;ES0108191000;FI4837
V87643474;ALIANZA FLEXIBLE, FI;INVERSIS GESTIÓN, S.A., SGIIC;AVENIDA DE LA HISPANIDAD, 6, 28042, MADRID;otros;capital variable;No;ES0108210008;FI5087
V87481057;ALMA MUNDI INNVIERTE FUND, FCRE;ALMA MUNDI VENTURES, SGEIC, S.A.;PLAZA DE SANTA BARBARA, 2, 28004, MADRID;otros;capital fijo;No;ES0108383003;FCRE1
V87733978;ALONDRA CAPITAL, FI;DUX INVERSORES, SGIIC, S.A.;VELAZQUEZ, 25, 28001, MADRID;otros;capital variable;No;ES0108611007;FI5122
V87781563;ALPHA PLUS EUROPA ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108612005;FI5148
V87781563;ALPHA PLUS EUROPA ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108612013;FI5148
V87781563;ALPHA PLUS EUROPA ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108612021;FI5148
V87781563;ALPHA PLUS EUROPA ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108612039;FI5148
V85609774;ALPHA PLUS GESTION FLEXIBLE, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;otros;capital variable;No;ES0108701006;FI4100
V85609774;ALPHA PLUS GESTION FLEXIBLE, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;otros;capital variable;No;ES0108701014;FI4100
V85609774;ALPHA PLUS GESTION FLEXIBLE, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;otros;capital variable;No;ES0108701022;FI4100
V85609774;ALPHA PLUS GESTION FLEXIBLE, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;otros;capital variable;No;ES0108701030;FI4100
V87300273;ALPHA PLUS IBÉRICO ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108642002;FI4878
V87300273;ALPHA PLUS IBÉRICO ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108642010;FI4878
V87300273;ALPHA PLUS IBÉRICO ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108642028;FI4878
V87300273;ALPHA PLUS IBÉRICO ACCIONES, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;participaciones;capital variable;No;ES0108642036;FI4878
V85609956;ALPHA PLUS RENTA FIJA DINAMICA, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;obligaciones;capital variable;No;ES0108686009;FI4099
V85609956;ALPHA PLUS RENTA FIJA DINAMICA, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;obligaciones;capital variable;No;ES0108686017;FI4099
V85609956;ALPHA PLUS RENTA FIJA DINAMICA, FI;ALPHA PLUS GESTORA, S.G.I.I.C., S.A.;CAMINO DE LA FUENTE DE LA MORA, 9, 28050, MADRID;obligaciones;capital variable;No;ES0108686025;FI4099
V85786416;ALPHAVILLE, FIL;OMEGA GESTION DE INVERSIONES, SGIIC, S.A.;PS. DE LA CASTELLANA 28, 28046, MADRID;alto riesgo;capital variable;No;ES0108703002;FIL29
V87644688;ALTA LIFE SCIENCES SPAIN I FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108631005;FCR203
V87466777;ALTAIR EUROPEAN OPPORTUNITIES, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;participaciones;capital variable;No;ES0108637002;FI4952
V83742536;ALTAIR INVERSIONES, FI;SANTANDER ASSET MANAGEMENT, S.A., SGIIC;SERRANO 69, 28006, MADRID;otros;capital variable;No;ES0113545034;FI2843
V87382172;ALTAIR INVERSIONES II, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;otros;capital variable;No;ES0108526007;FI4910
V81959082;ALTAIR PATRIMONIO, FI;SANTANDER ASSET MANAGEMENT, S.A., SGIIC;SERRANO 69, 28006, MADRID;mixtos;capital variable;No;ES0138600038;FI1385
V87383766;ALTAIR PATRIMONIO II, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;mixtos;capital variable;No;ES0108643000;FI4911
V87113726;ALTAIR RENTA FIJA, FI;RENTA 4 GESTORA, S.G.I.I.C., S.A.;Pº DE LA HABANA, 74, 2º IZDA., 28036, MADRID;obligaciones;capital variable;No;ES0107574008;FI4801
V84231752;ALTAMAR BUYOUT EUROPA, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108904030;FCR43
V84791656;ALTAMAR BUYOUT GLOBAL II, FCR DE REGIMEN COMÚN;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0177043033;FCR67
V84791755;ALTAMAR BUYOUT GLOBAL III, FCR DE REGIMEN COMUN;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0113309035;FCR66
V86981222;ALTAMAR GLOBAL PRIVATE EQUITY PROGRAM VIII, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0157100001;FCR156
V87583720;ALTAMAR GLOBAL SECONDARIES IX, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0107575005;FCR196
V87370441;ALTAMAR INFRASTRUCTURE INCOME, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0157101009;FCR180
V87834784;ALTAMAR PRIVATE DEBT I, IICIICIL;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;alto riesgo;capital variable;No;ES0157102007;FHF47
V87834784;ALTAMAR PRIVATE DEBT I, IICIICIL;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;alto riesgo;capital variable;No;ES0157102015;FHF47
V85793941;ALTAMAR SECONDARY OPPORTUNITIES IV, FCR DE REGIMEN SIMPLIFICADO;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0163029004;FCR114
V86886397;ALTAMAR SECONDARY OPPORTUNITIES VII BP, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108687007;FCR148
V86774692;ALTAMAR SECONDARY OPPORTUNITIES VII, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0155279005;FCR144
V86730009;ALTAMAR VI-EMERGING MARKETS PRIVATE EQUITY, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108704000;FCR142
V87176715;ALTAMAR VIII BP GLOBAL PRIVATE EQUITY PROGRAM, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108688005;FCR171
V86163128;ALTAMAR V-PRIVATE EQUITY PROGRAM 2010, FCR, DE RÉGIMEN SIMPLIFICADO;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0108741002;FCR128
V88060843;ALTAMAR X GLOBAL PRIVATE EQUITY PROGRAM, FCR;ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.;Pº CASTELLANA, 91, 28046, MADRID;otros;capital fijo;No;ES0157103005;FCR225
V85200806;ALTAN I INMOBILIARIO GLOBAL, FIL;ALTAN CAPITAL, SGIIC, S.A.;Paseo de la Castellana, 91, 28046, MADRID;alto riesgo;capital variable;No;ES0177044007;FIL12
V85200830;ALTAN II INMOBILIARIO GLOBAL, FIL;ALTAN CAPITAL, SGIIC, S.A.;Paseo de la Castellana, 91, 28046, MADRID;alto riesgo;capital variable;No;ES0177045004;FIL13
V86544897;ALTAN III GLOBAL, FIL;ALTAN CAPITAL, SGIIC, S.A.;Paseo de la Castellana, 91, 28046, MADRID;alto riesgo;capital variable;No;ES0108742000;FIL45
